ID	chrom	loc.start	loc.end	num.mark	seg.mean	seg.med	probes.Sd	estimCopy
X5.LD	1	754192	27143076	2266	-1.71146213869665	-1.87646213869665	0.850810205797389	1
X5.LD	1	27149623	99318835	5700	-1.96336213869665	-1.87646213869665	0.846755553701188	1
X5.LD	1	99334672	147093887	1922	-1.77986213869665	-1.87646213869665	1.05670575010383	1
X5.LD	1	147099315	249212878	7912	-0.0890621386966487	0.00758786130335129	0.856097139814996	2
X5.LD	2	21494	243052331	18102	-0.0365621386966487	0.00758786130335129	0.750099705504927	2
X5.LD	3	63411	197852564	15037	-0.0358621386966487	0.00758786130335129	0.951698762264723	2
X5.LD	4	69404	190915650	13387	0.0494378613033513	0.00758786130335129	0.793404282010455	2
X5.LD	5	38139	180698312	12360	-0.0459621386966487	0.00758786130335129	0.752650450582516	2
X5.LD	6	204909	170913051	12704	0.00683786130335129	0.00758786130335129	0.768061979203216	2
X5.LD	7	41421	159118443	11975	0.111037861303351	0.111037861303351	0.744538162634205	2
X5.LD	8	172417	146292734	11949	-0.0114621386966487	0.00758786130335129	0.784343480666131	2
X5.LD	9	204738	141054761	8531	-0.00756213869664871	0.00758786130335129	0.790758169004745	2
X5.LD	10	126070	135434303	9695	0.0434378613033513	0.00758786130335129	0.838016212362847	2
X5.LD	11	192764	46570859	3365	-1.90376213869665	-1.87646213869665	0.848342452088112	1
X5.LD	11	46594237	50479703	256	-0.836162138696649	-0.786513635333289	1.17232034991452	1
X5.LD	11	50493930	65335705	821	-0.259362138696649	-0.10239252304202	0.953310721868029	2
X5.LD	11	65354150	134938847	5505	0.0155378613033513	0.00758786130335129	0.801206174684243	2
X5.LD	12	189400	133818115	10345	-0.0379621386966487	0.00758786130335129	0.747252036953194	2
X5.LD	13	19084823	115103150	7934	-1.87646213869665	-1.87646213869665	0.765789971427428	1
X5.LD	14	20219083	88618902	5210	-1.98246213869665	-1.87646213869665	0.823618506057082	1
X5.LD	14	88632321	88671648	4	-7.61496213869665	-6.77251213869665	2.2349267401216	1
X5.LD	14	88693988	107282024	1542	-1.92496213869665	-1.87646213869665	1.08151688077045	1
X5.LD	15	20161372	33685845	665	0.118837861303351	0.111037861303351	0.754956471808928	2
X5.LD	15	33699956	78730313	3409	-0.0448621386966487	0.00758786130335129	0.833913485742617	2
X5.LD	15	78742754	102397317	1938	0.0945378613033513	0.111037861303351	0.735273485629857	2
X5.LD	16	83887	90158005	5834	0.0359378613033513	0.00758786130335129	0.809755371713656	2
X5.LD	17	400959	80263427	6413	0.0143378613033513	0.00758786130335129	0.940312259357942	2
X5.LD	18	12842	78007784	5595	0.00833786130335129	0.00758786130335129	0.69136796559483	2
X5.LD	19	247232	6572796	584	-0.356662138696649	-0.323007999723954	1.1978157739278	2
X5.LD	19	6585298	59093239	4251	0.0182378613033513	0.00758786130335129	1.00209906727439	2
X5.LD	20	69094	62912463	5091	0.0184378613033513	0.00758786130335129	1.0123691664347	2
X5.LD	21	9648315	48097610	2349	0.0275378613033513	0.00758786130335129	0.902452141708906	2
X5.LD	22	16054713	24341388	700	-1.59446213869665	-1.87646213869665	0.952740391386753	1
X5.LD	22	24346428	24390318	20	-5.93006213869665	-6.77251213869665	3.05717801875172	1
X5.LD	22	24394088	51213826	2076	-1.57516213869665	-1.87646213869665	0.987407427645518	1
